Full Journal Title	Abbre1（Endnote来源）	Abbre2（Endnote来源）	Abbre3（Endnote来源）
AMERICAN JOURNAL OF PSYCHIATRY	Am. J. Psychiatry	Am J Psychiatry	"Am J Psychiatry,13.655"
Psychological Science in the Public Interest	Psychol. Sci. Publ. Int.	Psychol Sci Public Interest	"Psychol Sci Public Interest,22.250"
Light-Science & Applications	#N/A	Light-Science & Applications	"Light-Science & Applications,14.000"
NEURON	Neuron	Neuron	"Neuron,14.403"
Annual Review of Fluid Mechanics	#N/A	Annu Rev Fluid Mech	"Annu Rev Fluid Mech,17.214"
Wiley Interdisciplinary Reviews-Computational Molecular Science	#N/A	Wiley Interdisciplinary Reviews-Computational Molecular Science	"Wiley Interdisciplinary Reviews-Computational Molecular Science,8.127"
STUDIES IN MYCOLOGY	#N/A	Stud Mycol	"Stud Mycol,9.206"
CIRCULATION RESEARCH	Circul. Res.	Circ Res	"Circ Res,15.862"
ACS Nano	#N/A	Acs Nano	"Acs Nano,13.903"
Nature Geoscience	#N/A	Nature Geoscience	"Nature Geoscience,14.480"
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	J. Am. Chem. Soc.	J Am Chem Soc	"J Am Chem Soc,14.695"
Physics of Life Reviews	#N/A	Physics Of Life Reviews	"Physics Of Life Reviews,11.045"
Nature Reviews Gastroenterology & Hepatology	Nat. Rev. Gastroenterol. Hepatol.	Nat Rev Gastroenterol Hepatol	"Nat Rev Gastroenterol Hepatol,23.570"
Applied Physics Reviews	#N/A	Applied Physics Reviews	"Applied Physics Reviews,12.750"
Annual Review of Medicine	Annu. Rev. Med.	Annu Rev Med	"Annu Rev Med,10.091"
FUNGAL DIVERSITY	#N/A	Fungal Divers	"Fungal Divers,15.596"
Annual Review of Materials Research	#N/A	Ann Rev Mater Res	"Ann Rev Mater Res,16.816"
SURFACE SCIENCE REPORTS	Surf. Sci. Rep.	Surf Sci Rep	"Surf Sci Rep,14.824"
COORDINATION CHEMISTRY REVIEWS	Coord. Chem. Rev.	Coord Chem Rev	"Coord Chem Rev,13.476"
TRENDS IN IMMUNOLOGY	Trends Immunol.	Trends Immunol	"Trends Immunol,13.000"
HEPATOLOGY	Hepatology	Hepatology	"Hepatology,14.971"
PROGRESS IN NEUROBIOLOGY	Prog. Neurobiol.	Prog Neurobiol	"Prog Neurobiol,10.658"
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	Am. J. Respir. Crit. Care Med.	Am J Respir Crit Care Med	"Am J Respir Crit Care Med,16.494"
MOLECULAR PSYCHIATRY	Mol. Psychiatry	Mol Psychiatry	"Mol Psychiatry,11.973"
BLOOD	Blood	Blood	"Blood,16.562"
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	J. Allergy Clin. Immunol.	J Allergy Clin Immunol	"J Allergy Clin Immunol,14.110"
Annual Review of Pharmacology and Toxicology	Annu. Rev. Pharmacol. Toxicol.	Annu Rev Pharmacol Toxicol	"Annu Rev Pharmacol Toxicol,12.103"
Annual Review of Entomology	Annu. Rev. Entomol.	Annu Rev Entomol	"Annu Rev Entomol,11.796"
ANNALS OF THE RHEUMATIC DISEASES	Ann. Rheum. Dis.	Ann Rheum Dis	"Ann Rheum Dis,14.299"
TRENDS IN PHARMACOLOGICAL SCIENCES	Trends Pharmacol. Sci.	Trends Pharmacol Sci	"Trends Pharmacol Sci,11.523"
Physical Review X	#N/A	Physical Review X	"Physical Review X,12.211"
JOURNAL OF CLINICAL INVESTIGATION	J. Clin. Invest.	J Clin Invest	"J Clin Invest,12.282"
NANO LETTERS	Nano Lett.	Nano Lett	"Nano Lett,12.279"
NATURE STRUCTURAL & MOLECULAR BIOLOGY	Nat. Struct. Mol. Biol.	Nat Struct Mol Biol	"Nat Struct Mol Biol,12.109"
Journal of the National Cancer Institute	J. Natl. Cancer Inst.	J Natl Cancer Inst	#N/A
JOURNAL OF HEPATOLOGY	J. Hepatol.	J Hepatol	"J Hepatol,18.946"
Living Reviews in Solar Physics	#N/A	Living Reviews In Solar Physics	"Living Reviews In Solar Physics,14.625"
Nano Energy	#N/A	Nano Energy	"Nano Energy,15.548"
REVIEWS OF GEOPHYSICS	Rev. Geophys.	Rev Geophys	"Rev Geophys,16.725"
Annual Review of Marine Science	Ann. Rev. Mar. Sci.	Ann Rev Mar Sci	"Ann Rev Mar Sci,15.225"
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS	#N/A	J Photochem Photobiol C-Photo	"J Photochem Photobiol C-Photo,10.405"
ACTA NEUROPATHOLOGICA	Acta Neuropathol.	Acta Neuropathol	"Acta Neuropathol,18.174"
FEMS MICROBIOLOGY REVIEWS	FEMS Microbiol. Rev.	FEMS Microbiol Rev	"FEMS Microbiol Rev,11.524"
Nature Reviews Rheumatology	#N/A	Nature Reviews Rheumatology	"Nature Reviews Rheumatology,18.545"
Nature Reviews Nephrology	#N/A	Nature Reviews Nephrology	"Nature Reviews Nephrology,19.684"
Annual Review of Clinical Psychology	Ann. Rev. Clin. Psych.	Annu Rev Clin Psychol	"Annu Rev Clin Psychol,14.098"
Annual Review of Clinical Psychology	Ann. Rev. Clin. Psych.	Annu Rev Clin Psychol	"Annu Rev Clin Psychol,14.098"
ADVANCED FUNCTIONAL MATERIALS	#N/A	Adv Funct Mater	"Adv Funct Mater,15.621"
Nature Communications	#N/A	Nature Communications	"Nature Communications,11.878"
INTENSIVE CARE MEDICINE	Intensive Care Med.	Intensive Care Med	"Intensive Care Med,18.967"
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	#N/A	Angew Chem Int Ed	"Angew Chem Int Ed,12.257"
JOURNAL OF EXPERIMENTAL MEDICINE	J. Exp. Med.	J Exp Med	"J Exp Med,10.892"
GENOME RESEARCH	Genome Res.	Genome Res	"Genome Res,9.944"
TRENDS IN PLANT SCIENCE	Trends Plant Sci.	Trends Plant Sci	"Trends Plant Sci,14.006"
GENOME BIOLOGY	Genome Biol.	Genome Biol	"Genome Biol,14.028"
PLOS MEDICINE	PLoS Med.	PLoS Med	"PLoS Med,11.048"
DIABETES CARE	Diabetes Care	Diabetes Care	"Diabetes Care,15.270"
ANNALS OF ONCOLOGY	Ann. Oncol.	Ann Oncol	"Ann Oncol,14.196"
ADVANCED DRUG DELIVERY REVIEWS	Adv. Drug Del. Rev.	Adv Drug Del Rev	"Adv Drug Del Rev,15.519"
HUMAN REPRODUCTION UPDATE	Hum. Reprod. Update	Hum Reprod Update	"Hum Reprod Update,12.878"
LEUKEMIA	Leukemia	Leukemia	"Leukemia,9.944"
BIOLOGICAL REVIEWS	#N/A	Biol Rev	"Biol Rev,10.288"
Lancet Psychiatry	#N/A	Lancet Psychiatry	"Lancet Psychiatry,18.329"
Lancet Psychiatry	#N/A	Lancet Psychiatry	"Lancet Psychiatry,18.329"
PROGRESS IN RETINAL AND EYE RESEARCH	Prog. Retin. Eye Res.	Prog Retin Eye Res	"Prog Retin Eye Res,11.768"
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	#N/A	Mmwr-Morbidity And Mortality Weekly Report	"Mmwr-Morbidity And Mortality Weekly Report,14.874"
BIOLOGICAL PSYCHIATRY	Biol. Psychiatry	Biol Psychiatry	"Biol Psychiatry,11.501"
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS	#N/A	Prog Part Nucl Phys	"Prog Part Nucl Phys,10.764"
PHARMACOLOGY & THERAPEUTICS	Pharmacol. Ther.	Pharmacol Ther	"Pharmacol Ther,9.396"
TRENDS IN BIOTECHNOLOGY	Trends Biotechnol.	Trends Biotechnol	"Trends Biotechnol,13.747"
TRENDS IN NEUROSCIENCES	Trends Neurosci.	Trends Neurosci	"Trends Neurosci,12.314"
Academy of Management Annals	#N/A	Academy Of Management Annals	"Academy Of Management Annals,12.289"
Annual Review of Physiology	Annu. Rev. Physiol.	Annu Rev Physiol	"Annu Rev Physiol,17.902"
TRENDS IN MICROBIOLOGY	Trends Microbiol.	Trends Microbiol	"Trends Microbiol,11.974"
NATURAL PRODUCT REPORTS	Nat. Prod. Rep.	Nat Prod Rep	"Nat Prod Rep,11.876"
PROGRESS IN QUANTUM ELECTRONICS	#N/A	Prog Quantum Electron	"Prog Quantum Electron,5.105"
Annual Review of Phytopathology	Annu. Rev. Phytopathol.	Annu Rev Phytopathol	"Annu Rev Phytopathol,10.200"
DRUG RESISTANCE UPDATES	#N/A	Drug Resist Update	"Drug Resist Update,11.708"
TRENDS IN ENDOCRINOLOGY AND METABOLISM	Trends Endocrinol. Metab.	Trends Endocrinol Metab	"Trends Endocrinol Metab,9.777"
TRENDS IN GENETICS	Trends Genet.	Trends Genet	"Trends Genet,10.627"
TRENDS IN MOLECULAR MEDICINE	Trends Mol. Med.	Trends Mol Med	"Trends Mol Med,11.028"
IEEE Industrial Electronics Magazine	#N/A	Ieee Industrial Electronics Magazine	"Ieee Industrial Electronics Magazine,13.241"
Materials Horizons	#N/A	Materials Horizons	"Materials Horizons,14.356"
Annual Review of Biophysics	#N/A	Annual Review Of Biophysics	"Annual Review Of Biophysics,12.175"
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION	#N/A	Ieee Trans Evol Computat	"Ieee Trans Evol Computat,8.508"
ACS Catalysis	#N/A	Acs Catalysis	"Acs Catalysis,12.221"
BIOTECHNOLOGY ADVANCES	Biotechnol. Adv.	Biotechnol Adv	"Biotechnol Adv,12.831"
PROGRESS IN LIPID RESEARCH	Prog. Lipid Res.	Prog Lipid Res	"Prog Lipid Res,12.540"
EUROPEAN RESPIRATORY JOURNAL	Eur. Respir. J.	Eur Respir J	"Eur Respir J,11.807"
Annual Review of Biomedical Engineering	Annu. Rev. Biomed. Eng.	Annu Rev Biomed Eng	"Annu Rev Biomed Eng,12.257"
IEEE COMMUNICATIONS MAGAZINE	#N/A	Ieee Commun Mag	"Ieee Commun Mag,10.356"
JOURNAL OF PINEAL RESEARCH	J. Pineal Res.	J Pineal Res	"J Pineal Res,15.221"
Nature Plants	#N/A	Nature Plants	"Nature Plants,13.297"
BRAIN	Brain	Brain	"Brain,11.814"
JAMA Pediatrics	#N/A	Jama Pediatrics	"Jama Pediatrics,12.004"
Annual Review of Public Health	Annu. Rev. Public Health	Annu Rev Public Health	"Annu Rev Public Health,10.776"
Annual Review of Public Health	Annu. Rev. Public Health	Annu Rev Public Health	"Annu Rev Public Health,10.776"
JACC-Cardiovascular Imaging	#N/A	Jacc-Cardiovascular Imaging	"Jacc-Cardiovascular Imaging,10.975"
Annual Review of Ecology Evolution and Systematics	#N/A	Annu Rev Ecol Evol Syst	"Annu Rev Ecol Evol Syst,10.878"
NUCLEIC ACIDS RESEARCH	Nucleic Acids Res.	Nucleic Acids Res	"Nucleic Acids Res,11.147"
Nature Protocols	Nat. Protoc.	Nat Protoc	"Nat Protoc,11.334"
JAMA Neurology	#N/A	Jama Neurology	"Jama Neurology,12.321"
CURRENT OPINION IN CELL BIOLOGY	Curr. Opin. Cell Biol.	Curr Opin Cell Biol	"Curr Opin Cell Biol,8.233"
ANNALS OF NEUROLOGY	Ann. Neurol.	Ann Neurol	"Ann Neurol,9.496"
Lancet HIV	#N/A	Lancet Hiv	"Lancet Hiv,14.753"
PLOS BIOLOGY	PLoS Biol.	PLoS Biol	"PLoS Biol,8.386"
EMBO JOURNAL	EMBO J.	EMBO J	"EMBO J,11.227"
LAND DEGRADATION & DEVELOPMENT	#N/A	Land Degrad Dev	"Land Degrad Dev,4.275"
Annual Review of Earth and Planetary Sciences	#N/A	Annu Rev Earth Planet Sci	"Annu Rev Earth Planet Sci,9.235"
ENVIRONMENTAL HEALTH PERSPECTIVES	Environ. Health Perspect.	Environ Health Perspect	"Environ Health Perspect,8.049"
Molecular Systems Biology	Mol. Syst. Biol.	Mol Syst Biol	"Mol Syst Biol,9.800"
Journal of Cachexia Sarcopenia and Muscle	#N/A	Journal Of Cachexia Sarcopenia And Muscle	"Journal Of Cachexia Sarcopenia And Muscle,10.754"
ISME Journal	#N/A	Isme Journal	"Isme Journal,9.493"
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	Proc. Natl. Acad. Sci. U. S. A.	Proc Natl Acad Sci U S A	"Proc Natl Acad Sci U S A,9.580"
IEEE SIGNAL PROCESSING MAGAZINE	#N/A	Ieee Signal Process Mag	"Ieee Signal Process Mag,7.602"
CLINICAL CANCER RESEARCH	Clin. Cancer. Res.	Clin Cancer Res	"Clin Cancer Res,8.911"
IMMUNOLOGICAL REVIEWS	Immunol. Rev.	Immunol Rev	"Immunol Rev,11.292"
SEMINARS IN IMMUNOLOGY	Semin. Immunol.	Semin Immunol	"Semin Immunol,7.358"
AMERICAN JOURNAL OF GASTROENTEROLOGY	Am. J. Gastroenterol.	Am J Gastroenterol	"Am J Gastroenterol,10.241"
Alzheimers & Dementia	#N/A	Alzheimers & Dementia	"Alzheimers & Dementia,14.423"
CHEMISTRY OF MATERIALS	Chem. Mater.	Chem Mater	"Chem Mater,10.159"
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER	#N/A	Bba-Rev Cancer	"Bba-Rev Cancer,6.887"
ECOLOGY LETTERS	Ecol. Lett.	Ecol Lett	"Ecol Lett,8.699"
APPLIED CATALYSIS B-ENVIRONMENTAL	#N/A	Appl Catal B-Environ	"Appl Catal B-Environ,14.229"
Journal of Statistical Software	#N/A	J Stat Softw	"J Stat Softw,11.655"
FRONTIERS IN NEUROENDOCRINOLOGY	Front. Neuroendocrinol.	Front Neuroendocrinol	"Front Neuroendocrinol,7.852"
Annual Review of Microbiology	Annu. Rev. Microbiol.	Annu Rev Microbiol	"Annu Rev Microbiol,10.242"
GENES & DEVELOPMENT	Genes Dev.	Genes Dev	"Genes Dev,8.990"
ACADEMY OF MANAGEMENT REVIEW	Acad. Manage. Rev.	Acad Manage Rev	"Acad Manage Rev,10.632"
MASS SPECTROMETRY REVIEWS	Mass Spectrom. Rev.	Mass Spectrom Rev	"Mass Spectrom Rev,9.068"
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW	Pers. Soc. Psychol. Rev.	Pers Soc Psychol Rev	"Pers Soc Psychol Rev,9.903"
Journal of Physical Chemistry Letters	J. Phys. Chem. Lett.	J Phys Chem Lett	"J Phys Chem Lett,7.329"
Bone Research	#N/A	Bone Research	#N/A
CURRENT OPINION IN BIOTECHNOLOGY	Curr. Opin. Biotechnol.	Curr Opin Biotechnol	"Curr Opin Biotechnol,8.083"
EMBO Molecular Medicine	EMBO Mol. Med.	EMBO Mol Med	"EMBO Mol Med,10.624"
PROCEEDINGS OF THE IEEE	#N/A	Proc Ieee	"Proc Ieee,10.694"
DEVELOPMENTAL CELL	Dev. Cell	Dev Cell	"Dev Cell,9.190"
NPG Asia Materials	#N/A	Npg Asia Materials	"Npg Asia Materials,8.052"
SEMINARS IN CANCER BIOLOGY	Semin. Cancer Biol.	Semin Cancer Biol	"Semin Cancer Biol,9.658"
GREEN CHEMISTRY	Green Chem.	Green Chem	"Green Chem,9.405"
CANCER RESEARCH	Cancer Res.	Cancer Res	"Cancer Res,8.378"
npj Quantum Information	#N/A	Npj Quantum Information	"Npj Quantum Information,8.270"
Annual Review of Nutrition	Annu. Rev. Nutr.	Annu Rev Nutr	"Annu Rev Nutr,8.422"
Advanced Science	#N/A	Advanced Science	"Advanced Science,15.804"
AMERICAN JOURNAL OF HUMAN GENETICS	Am. J. Hum. Genet.	Am J Hum Genet	"Am J Hum Genet,9.924"
FISH AND FISHERIES	Fish Fish.	Fish Fish	"Fish Fish,6.655"
ANNALS OF SURGERY	Ann. Surg.	Ann Surg	"Ann Surg,9.476"
IEEE WIRELESS COMMUNICATIONS	#N/A	Ieee Wirel Commun	"Ieee Wirel Commun,11.000"
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY	J. Am. Soc. Nephrol.	J Am Soc Nephrol	"J Am Soc Nephrol,8.547"
PSYCHOTHERAPY AND PSYCHOSOMATICS	Psychother. Psychosom.	Psychother Psychosom	"Psychother Psychosom,13.744"
PSYCHOTHERAPY AND PSYCHOSOMATICS	Psychother. Psychosom.	Psychother Psychosom	"Psychother Psychosom,13.744"
AUTOIMMUNITY REVIEWS	Autoimmun. Rev.	Autoimmun Rev	"Autoimmun Rev,7.716"
SLEEP MEDICINE REVIEWS	Sleep Med. Rev.	Sleep Med Rev	"Sleep Med Rev,10.517"
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES	#N/A	Astrophys J Suppl Ser	"Astrophys J Suppl Ser,8.311"
SYSTEMATIC BIOLOGY	Syst. Biol.	Syst Biol	"Syst Biol,10.266"
